# MEAN_SAMPLE_SIZE = 112238
# TOTAL_GENES = 19235
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, samplesize, log_samplesize, inverse_mac, log_inverse_mac
SET                        NGENES       BETA   BETA_STD         SE            P FULL_NAME
Curated_gene_sets:kegg...      58    -0.0271   -0.00149      0.132      0.58128 Curated_gene_sets:kegg_glycolysis_gluconeogenesis
Curated_gene_sets:kegg...      29     0.0823    0.00319       0.19      0.33235 Curated_gene_sets:kegg_citrate_cycle_tca_cycle
Curated_gene_sets:kegg...      23      -0.22   -0.00761       0.21      0.85285 Curated_gene_sets:kegg_pentose_phosphate_pathway
Curated_gene_sets:kegg...      29     -0.244   -0.00947       0.23      0.85566 Curated_gene_sets:kegg_pentose_and_glucuronate_interconversions
Curated_gene_sets:kegg...      32      0.264     0.0108      0.166     0.056413 Curated_gene_sets:kegg_fructose_and_mannose_metabolism
Curated_gene_sets:kegg...      26      0.366     0.0135        0.2     0.033529 Curated_gene_sets:kegg_galactose_metabolism
Curated_gene_sets:kegg...      26     -0.239   -0.00877      0.257      0.82304 Curated_gene_sets:kegg_ascorbate_and_aldarate_metabolism
Curated_gene_sets:kegg...      40     -0.097   -0.00442      0.142      0.75257 Curated_gene_sets:kegg_fatty_acid_metabolism
Curated_gene_sets:kegg...      15     -0.283   -0.00789      0.228      0.89198 Curated_gene_sets:kegg_steroid_biosynthesis
Curated_gene_sets:kegg...      16    -0.0847   -0.00244      0.257      0.62887 Curated_gene_sets:kegg_primary_bile_acid_biosynthesis
Curated_gene_sets:kegg...      53    0.00415   0.000218       0.16      0.48962 Curated_gene_sets:kegg_steroid_hormone_biosynthesis
Curated_gene_sets:kegg...     115    -0.0358   -0.00276     0.0876      0.65875 Curated_gene_sets:kegg_oxidative_phosphorylation
Curated_gene_sets:kegg...     154      0.126     0.0112     0.0732     0.042822 Curated_gene_sets:kegg_purine_metabolism
Curated_gene_sets:kegg...      95      0.108    0.00756     0.0911       0.1182 Curated_gene_sets:kegg_pyrimidine_metabolism
Curated_gene_sets:kegg...      31     -0.154   -0.00619      0.153      0.84303 Curated_gene_sets:kegg_alanine_aspartate_and_glutamate_metabolism
Curated_gene_sets:kegg...      28      0.299     0.0114      0.173     0.041687 Curated_gene_sets:kegg_glycine_serine_and_threonine_metabolism
Curated_gene_sets:kegg...      33    -0.0218  -0.000902      0.175      0.54959 Curated_gene_sets:kegg_cysteine_and_methionine_metabolism
Curated_gene_sets:kegg...      43     -0.182   -0.00861       0.14      0.90371 Curated_gene_sets:kegg_valine_leucine_and_isoleucine_degradation
Curated_gene_sets:kegg...       8     -0.179   -0.00366      0.313      0.71648 Curated_gene_sets:kegg_valine_leucine_and_isoleucine_biosynthesis
Curated_gene_sets:kegg...      41      0.419     0.0193      0.144    0.0018221 Curated_gene_sets:kegg_lysine_degradation
Curated_gene_sets:kegg...      48     0.0512    0.00255      0.123      0.33818 Curated_gene_sets:kegg_arginine_and_proline_metabolism
Curated_gene_sets:kegg...      27      0.221    0.00827      0.196      0.12969 Curated_gene_sets:kegg_histidine_metabolism
Curated_gene_sets:kegg...      39    -0.0153  -0.000689      0.159      0.53844 Curated_gene_sets:kegg_tyrosine_metabolism
Curated_gene_sets:kegg...      16    -0.0686   -0.00198      0.231      0.61653 Curated_gene_sets:kegg_phenylalanine_metabolism
Curated_gene_sets:kegg...      37     0.0431    0.00189      0.156       0.3911 Curated_gene_sets:kegg_tryptophan_metabolism
Curated_gene_sets:kegg...      21     -0.141   -0.00465      0.208      0.75067 Curated_gene_sets:kegg_beta_alanine_metabolism
Curated_gene_sets:kegg...      10     -0.347   -0.00792      0.326      0.85664 Curated_gene_sets:kegg_taurine_and_hypotaurine_metabolism
Curated_gene_sets:kegg...      26     -0.115   -0.00422      0.191      0.72585 Curated_gene_sets:kegg_selenoamino_acid_metabolism
Curated_gene_sets:kegg...      48     -0.124    -0.0062      0.157      0.78622 Curated_gene_sets:kegg_glutathione_metabolism
Curated_gene_sets:kegg...      52    -0.0496   -0.00258      0.167       0.6166 Curated_gene_sets:kegg_starch_and_sucrose_metabolism
Curated_gene_sets:kegg...      46     -0.287     -0.014      0.142      0.97879 Curated_gene_sets:kegg_n_glycan_biosynthesis
Curated_gene_sets:kegg...      15     0.0555    0.00155      0.238      0.40776 Curated_gene_sets:kegg_other_glycan_degradation
Curated_gene_sets:kegg...      29     -0.356    -0.0138      0.203      0.96065 Curated_gene_sets:kegg_o_glycan_biosynthesis
Curated_gene_sets:kegg...      44       0.23      0.011      0.142     0.052813 Curated_gene_sets:kegg_amino_sugar_and_nucleotide_sugar_metabolism
Curated_gene_sets:kegg...      20     -0.198   -0.00639      0.223      0.81271 Curated_gene_sets:kegg_glycosaminoglycan_degradation
Curated_gene_sets:kegg...      21     -0.263    -0.0087      0.197      0.90957 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_chondroitin_sulfate
Curated_gene_sets:kegg...      15    -0.0955   -0.00266      0.254      0.64651 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_keratan_sulfate
