# MEAN_SAMPLE_SIZE = 112464
# TOTAL_GENES = 17597
# CONDITIONED_COVAR = Average
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, samplesize, log_samplesize, inverse_mac, log_inverse_mac
COVAR                                  OBS_GENES       BETA   BETA_STD         SE            P
Adipose_Subcutaneous                       17597     0.0186     0.0561     0.0145      0.09888
Adipose_Visceral_Omentum                   17597     0.0366      0.107     0.0151    0.0076364
Adrenal_Gland                              17597     0.0188     0.0537     0.0127     0.070205
Artery_Aorta                               17597     0.0276      0.084     0.0136      0.02099
Artery_Coronary                            17597      0.026     0.0783     0.0164     0.056041
Artery_Tibial                              17597     0.0214     0.0651     0.0134      0.05557
Bladder                                    17597     0.0127     0.0383      0.016      0.21415
Brain_Amygdala                             17597    -0.0368    -0.0935    0.00948      0.99995
Brain_Anterior_cingulate_cortex_BA24       17597    -0.0358    -0.0943    0.00892      0.99997
Brain_Caudate_basal_ganglia                17597    -0.0302    -0.0781    0.00968      0.99909
Brain_Cerebellar_Hemisphere                17597    -0.0105    -0.0311    0.00737      0.92276
Brain_Cerebellum                           17597   -0.00842    -0.0248    0.00764      0.86468
Brain_Cortex                               17597    -0.0317    -0.0868    0.00863      0.99988
Brain_Frontal_Cortex_BA9                   17597    -0.0329    -0.0918    0.00828      0.99996
Brain_Hippocampus                          17597     -0.035     -0.089    0.00972      0.99984
Brain_Hypothalamus                         17597    -0.0376    -0.0998    0.00985      0.99993
Brain_Nucleus_accumbens_basal_ganglia      17597     -0.032    -0.0839    0.00918      0.99975
Brain_Putamen_basal_ganglia                17597    -0.0293    -0.0738    0.00956      0.99892
Brain_Spinal_cord_cervical_c-1             17597    -0.0251    -0.0688      0.011       0.9888
Brain_Substantia_nigra                     17597    -0.0304     -0.079     0.0106      0.99797
Breast_Mammary_Tissue                      17597     0.0329     0.0975     0.0178     0.031925
Cells_EBV-transformed_lymphocytes          17597   0.000513    0.00157    0.00582      0.46492
Cells_Transformed_fibroblasts              17597     0.0111     0.0343    0.00834     0.092102
Cervix_Ectocervix                          17597     0.0358      0.107      0.018     0.023285
Cervix_Endocervix                          17597     0.0383      0.118     0.0157    0.0074599
Colon_Sigmoid                              17597    0.00577     0.0171      0.017      0.36726
Colon_Transverse                           17597     0.0104     0.0293     0.0147      0.24024
Esophagus_Gastroesophageal_Junction        17597     0.0277     0.0821      0.018     0.061263
Esophagus_Mucosa                           17597   -0.00518     -0.015    0.00942      0.70874
Esophagus_Muscularis                       17597     0.0235     0.0694     0.0172     0.085916
Fallopian_Tube                             17597     0.0437      0.132     0.0164    0.0038171
Heart_Atrial_Appendage                     17597     0.0224      0.059     0.0119     0.029949
Heart_Left_Ventricle                       17597     0.0112     0.0267     0.0109      0.15232
Kidney_Cortex                              17597    0.00975     0.0258     0.0118      0.20403
Liver                                      17597     0.0108     0.0277    0.00769     0.079782
Lung                                       17597     0.0164     0.0497     0.0118     0.082452
Minor_Salivary_Gland                       17597    0.00948     0.0272     0.0124      0.22179
Muscle_Skeletal                            17597    0.00964     0.0257    0.00838      0.12491
Nerve_Tibial                               17597     0.0266     0.0826     0.0137     0.026011
Ovary                                      17597     0.0198     0.0605     0.0124     0.055333
Pancreas                                   17597     0.0223     0.0544     0.0102     0.013964
Pituitary                                  17597    0.00725      0.021     0.0115      0.26483
Prostate                                   17597     0.0206     0.0608     0.0167      0.10858
Skin_Not_Sun_Exposed_Suprapubic            17597    0.00385     0.0113    0.00973      0.34611
Skin_Sun_Exposed_Lower_leg                 17597    0.00453     0.0134    0.00967      0.31971
Small_Intestine_Terminal_Ileum             17597      0.013     0.0369     0.0117      0.13382
Spleen                                     17597    0.00548     0.0165    0.00892      0.26959
Stomach                                    17597     0.0263     0.0723     0.0155      0.04498
Testis                                     17597   -0.00156   -0.00464    0.00695      0.58896
Thyroid                                    17597     0.0329      0.101     0.0126    0.0044805
Uterus                                     17597     0.0404      0.125     0.0149    0.0033753
Vagina                                     17597      0.014     0.0418     0.0149       0.1728
Whole_Blood                                17597     -0.005    -0.0124    0.00661      0.77508
