# MEAN_SAMPLE_SIZE = 112464
# TOTAL_GENES = 17597
# CONDITIONED_COVAR = Average
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, samplesize, log_samplesize, inverse_mac, log_inverse_mac
COVAR                      OBS_GENES       BETA   BETA_STD         SE            P
Adipose_Tissue                 17597    0.00899     0.0267     0.0195       0.3226
Adrenal_Gland                  17597    0.00445     0.0127     0.0133      0.36912
Bladder                        17597     -0.015    -0.0454     0.0211       0.7619
Blood                          17597   -0.00966    -0.0244    0.00748      0.90167
Blood_Vessel                   17597    0.00826      0.025     0.0166      0.30888
Brain                          17597    -0.0242    -0.0638    0.00824      0.99832
Breast                         17597    0.00961     0.0284     0.0252      0.35134
Cervix_Uteri                   17597     0.0214     0.0645     0.0239       0.1859
Colon                          17597    -0.0222    -0.0634     0.0242      0.82015
Esophagus                      17597    -0.0284    -0.0814     0.0276      0.84894
Fallopian_Tube                 17597     0.0294     0.0887     0.0208     0.079363
Heart                          17597    0.00618     0.0154     0.0118      0.29992
Kidney                         17597   -0.00345   -0.00911     0.0129      0.60527
Liver                          17597    0.00533     0.0136    0.00804      0.25382
Lung                           17597    0.00267    0.00805     0.0145      0.42712
Muscle                         17597    0.00335    0.00893    0.00835      0.34397
Nerve                          17597     0.0114     0.0353     0.0143      0.21379
Ovary                          17597    0.00591     0.0181     0.0135      0.33081
Pancreas                       17597      0.014     0.0342     0.0108       0.0971
Pituitary                      17597   -0.00111   -0.00321     0.0106      0.54166
Prostate                       17597   -0.00348    -0.0103     0.0209      0.56611
Salivary_Gland                 17597    -0.0074    -0.0212     0.0148      0.69187
Skin                           17597   -0.00421    -0.0123     0.0138      0.61974
Small_Intestine                17597  -0.000671   -0.00191     0.0137      0.51954
Spleen                         17597   -0.00375    -0.0113    0.00977      0.64953
Stomach                        17597    0.00681     0.0187     0.0189      0.35914
Testis                         17597   -0.00457    -0.0136    0.00696      0.74427
Thyroid                        17597     0.0225     0.0689      0.015     0.066763
Uterus                         17597      0.025     0.0773     0.0171     0.072575
Vagina                         17597   -0.00777    -0.0231     0.0184      0.66396
