GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000186092	1	64091	75008	14	9	67786	-0.3967	0.65421	OR4F5
ENSG00000237683	1	129901	144379	12	9	67786	0.086447	0.46556	AL627309.1
ENSG00000235249	1	362640	373634	2	1	67786	0.4288	0.33403	OR4F29
ENSG00000185097	1	616059	627053	6	4	67786	-0.64943	0.74197	OR4F16
ENSG00000269831	1	733532	744137	49	14	70020	-1.3176	0.90618	AL669831.1
ENSG00000269308	1	813043	824983	41	27	71595	-0.81756	0.7932	AL645608.2
ENSG00000187634	1	855260	884955	192	55	73552	-0.17919	0.57111	SAMD11
ENSG00000268179	1	856264	871445	114	33	72856	0.11192	0.45544	AL645608.1
ENSG00000188976	1	874584	899689	135	34	76820	-1.1568	0.87633	NOC2L
ENSG00000187961	1	890967	906095	98	27	75394	-1.0818	0.86032	KLHL17
ENSG00000187583	1	896877	916245	142	54	77279	-0.9851	0.83771	PLEKHN1
ENSG00000187642	1	905579	922497	129	47	86535	-1.3736	0.91522	C1orf170
ENSG00000188290	1	929342	940552	70	22	92253	-0.40456	0.6571	HES4
ENSG00000187608	1	943803	954920	82	24	88814	0.73847	0.23011	ISG15
ENSG00000188157	1	950503	996496	356	54	88193	-0.82887	0.79641	AGRN
ENSG00000237330	1	1001346	1014687	70	30	96921	0.73849	0.23011	RNF223
ENSG00000131591	1	1012198	1056741	272	44	101286	-0.096683	0.53851	C1orf159
ENSG00000162571	1	1104264	1138315	307	51	104178	2.1659	0.015161	TTLL10
ENSG00000186891	1	1133888	1147071	80	26	100334	2.8031	0.0025304	TNFRSF18
ENSG00000186827	1	1141706	1154518	77	23	105584	3.0069	0.0013197	TNFRSF4
ENSG00000078808	1	1147288	1172411	204	25	111362	2.0293	0.021212	SDF4
ENSG00000176022	1	1162629	1175421	91	22	110352	2.4556	0.0070317	B3GALT6
ENSG00000184163	1	1172826	1187102	103	22	99062	1.6354	0.050983	FAM132A
ENSG00000160087	1	1184289	1214265	171	49	100807	1.6548	0.048982	UBE2J2
ENSG00000162572	1	1210816	1232409	188	67	93239	1.5228	0.063908	SCNN1D
ENSG00000131584	1	1222756	1249989	223	70	89450	0.30735	0.37929	ACAP3
ENSG00000169972	1	1238947	1252057	78	33	93020	0.31287	0.37719	PUSL1
ENSG00000127054	1	1241965	1265071	131	43	90132	-0.069666	0.52777	CPSF3L
ENSG00000224051	1	1255136	1269277	86	32	91011	-0.14384	0.55719	GLTPD1
ENSG00000169962	1	1261694	1275686	102	37	92900	-0.28622	0.61265	TAS1R3
ENSG00000107404	1	1265656	1289730	169	48	92393	-0.10398	0.54141	DVL1
ENSG00000162576	1	1283069	1302157	121	30	102539	-0.46434	0.6788	MXRA8
ENSG00000175756	1	1304110	1315875	84	19	104466	-0.54119	0.70581	AURKAIP1
ENSG00000221978	1	1316091	1339708	115	37	96138	-1.2611	0.89636	CCNL2
ENSG00000224870	1	1329902	1342426	70	31	93486	-1.4548	0.92713	RP4-758J18.2
ENSG00000242485	1	1332288	1347693	96	33	95154	-0.84841	0.80189	MRPL20
ENSG00000235098	1	1348800	1362149	98	22	98599	-0.48153	0.68493	ANKRD65
ENSG00000205116	1	1356508	1368167	96	27	97332	0.016702	0.49334	TMEM88B
ENSG00000179403	1	1365241	1383262	86	31	94672	0.88171	0.18897	VWA1
ENSG00000215915	1	1380069	1410538	218	50	94484	0.11828	0.45292	ATAD3C
ENSG00000160072	1	1402143	1438228	290	39	94657	0.58807	0.27824	ATAD3B
ENSG00000197785	1	1442531	1475067	264	41	92179	0.92861	0.17655	ATAD3A
ENSG00000205090	1	1465554	1480833	110	33	95775	0.676	0.24952	TMEM240
ENSG00000160075	1	1472053	1515249	216	34	104159	0.93584	0.17468	SSU72
ENSG00000215014	1	1505355	1516373	72	9	106213	1.2196	0.11131	AL645728.1
ENSG00000228594	1	1528392	1540476	54	19	85653	-0.80846	0.79059	C1orf233
ENSG00000197530	1	1545795	1570990	103	34	81506	-1.0251	0.84734	MIB2
ENSG00000189409	1	1562474	1575639	40	21	71166	-0.62711	0.73471	MMP23B
ENSG00000248333	1	1565603	1595473	106	28	70877	-1.522	0.93599	CDK11B
ENSG00000189339	1	1587939	1629167	206	61	77084	-0.85186	0.80285	SLC35E2B
ENSG00000008128	1	1629169	1660766	192	23	86149	0.88617	0.18776	CDK11A
ENSG00000215790	1	1651277	1682431	190	39	90672	1.867	0.030948	SLC35E2
ENSG00000008130	1	1677671	1716896	170	42	101503	2.5137	0.0059731	NADK
ENSG00000078369	1	1711729	1827495	420	74	95328	2.6798	0.0036829	GNB1
ENSG00000169885	1	1841266	1853735	77	21	110353	1.8925	0.029214	CALML6
ENSG00000178821	1	1844029	1855712	84	20	110876	1.3581	0.087221	TMEM52
ENSG00000142609	1	1848396	1940276	690	75	98237	0.52593	0.29947	C1orf222
