# ALPHA = 0.05
# TOT_SETS = 10651


# _SET1_ SET = Curated_gene_sets:kegg_pathways_in_cancer
# _SET1_ NGENES = 318
# _SET1_ P = 3.83538e-06
_SET1_     GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET1_     ENSG00000107404     1    1265656    1289730    169      48   92393     -0.10397      0.54141
_SET1_     ENSG00000171608     1    9706790    9794172    370      76  103209      0.24319      0.40393
_SET1_     ENSG00000198793     1   11161592   11327564    572      29  112116      0.66767      0.25217
_SET1_     ENSG00000132906     1   15812327   15858029    236      26  118725      0.94291      0.17286
_SET1_     ENSG00000070831     1   22374120   22424437    217      48  114090       3.5267   0.00021035
_SET1_     ENSG00000162552     1   22438798   22475462    190      51  119422       5.6015   1.0623e-08
_SET1_     ENSG00000007968     1   23827922   23862712    137      34  108087      0.10357      0.45875
_SET1_     ENSG00000116478     1   32752687   32804236    141      35   87232       1.2091       0.1133
_SET1_     ENSG00000119535     1   36926644   36953879    129      47  115794     -0.55266      0.70975
_SET1_     ENSG00000117394     1   43386052   43429530    202      39  122907       5.5021   1.8764e-08
_SET1_     ENSG00000117425     1   45280516   45313735    147      35  109701       -1.218       0.8884
_SET1_     ENSG00000117461     1   46500812   46647160    474      50  115972     -0.40578      0.65755
_SET1_     ENSG00000177606     1   59241465   59254785     47      21  114996       2.3507    0.0093681
_SET1_     ENSG00000162434     1   65293912   65437187    592      70  115656     -0.67969      0.75165
_SET1_     ENSG00000134245     1  113004163  113077787    266      68  114480     -0.13344      0.55308
_SET1_     ENSG00000213281     1  115242090  115264515     64      31  113328     -0.38823      0.65108
_SET1_     ENSG00000131788     1  145570233  145591546     45      29   95509     -0.57113      0.71605
_SET1_     ENSG00000143437     1  150777181  150854244    210      48  107725       1.9899     0.023302
_SET1_     ENSG00000143549     1  154122784  154172124    126      37  109605      0.11053      0.45599
_SET1_     ENSG00000173207     1  154942129  154956725     35      18  101368      0.93976      0.17367
_SET1_     ENSG00000198400     1  156780432  156856642    294      86  108429      0.60006      0.27423
_SET1_     ENSG00000143171     1  165365159  165419433    283      43  126419      0.38757      0.34917
_SET1_     ENSG00000117560     1  172623154  172641014     61      23  118928       2.4428    0.0072865
_SET1_     ENSG00000135862     1  182987595  183119727    679      25  120918     -0.08227      0.53278
_SET1_     ENSG00000058085     1  183150373  183219035    371      44  119116     -0.42624      0.66503
_SET1_     ENSG00000047410     1  186275784  186349825    270      44  113656     -0.67136      0.74901
_SET1_     ENSG00000073756     1  186635923  186654559     78      18  118100     -0.32769      0.62843
_SET1_     ENSG00000136653     1  206675879  206767616    373      71  114469     -0.20559      0.58144
_SET1_     ENSG00000196878     1  209783215  209830811    268      48  117554        0.253      0.40014
_SET1_     ENSG00000082512     1  211494957  211553288    200      55  120343       1.2098      0.11318
_SET1_     ENSG00000092969     1  218514577  218622961    481      97  110976      0.43534      0.33166
_SET1_     ENSG00000143816     1  228101357  228140599    207      46  117493       1.3938     0.081684
_SET1_     ENSG00000154342     1  228189752  228253961    247      57  110866       2.5383    0.0055696
_SET1_     ENSG00000135766     1  231494497  231565790    402      20  124644      0.95167      0.17063
_SET1_     ENSG00000091483     1  241655903  241688061     99      30  115113       2.6432    0.0041067
_SET1_     ENSG00000117020     1  243646535  244019381   1046      72  107418       1.9171     0.027613
_SET1_     ENSG00000115904     2   39203537   39356486    567      45  108762     -0.50616      0.69363
_SET1_     ENSG00000116016     2   46515806   46618836    469      86  119145       2.7327    0.0031408
_SET1_     ENSG00000095002     2   47625108   47794450    766      68  114412     -0.42315      0.66391
_SET1_     ENSG00000116062     2   47917669   48042240    557      77  113110     -0.86536      0.80658
_SET1_     ENSG00000163235     2   70669412   70786325    536      71  118539      0.69942      0.24215
_SET1_     ENSG00000066032     2   79407357   80880905   7162     425  118420     -0.78685      0.78431
_SET1_     ENSG00000152284     2   85355533   85542511    872     111  123645     0.040103      0.48401
_SET1_     ENSG00000125618     2  113968574  114041527    319      38  124716       1.9772     0.024009
_SET1_     ENSG00000144118     2  120992640  121057289    266      25  110863       1.2106      0.11302
_SET1_     ENSG00000074047     2  121488199  121755229   1348     155  106629      0.91393      0.18038
_SET1_     ENSG00000091409     2  173287082  173376181    487      60  125045       1.2024      0.11461
_SET1_     ENSG00000138448     2  187449792  187550628    293      47  114469    0.0071772      0.49714
_SET1_     ENSG00000115415     2  191824084  191890686    263      48  119176       2.0105     0.022191
_SET1_     ENSG00000064012     2  202093166  202157434    264      44  121238        1.872     0.030603
_SET1_     ENSG00000155760     2  202894310  202908160     40      14  118111     -0.16477      0.56544
_SET1_     ENSG00000163251     2  208622310  208639287     58      22  113133       1.6294     0.051617
_SET1_     ENSG00000115414     2  216220163  216305895    360      49  121624      0.51039      0.30489
_SET1_     ENSG00000163482     2  219531749  219572439    155      27   95517     -0.47387       0.6822
_SET1_     ENSG00000115596     2  219719544  219743955     66      30   92929    0.0031649      0.49874
_SET1_     ENSG00000135925     2  219740085  219769303     82      24   89956     -0.54339      0.70657
_SET1_     ENSG00000081052     2  227862427  228033829    722      88  117935       1.3136     0.094494
_SET1_     ENSG00000134086     3   10177692   10198904    130      30  111363       1.9055      0.02836
_SET1_     ENSG00000132170     3   12323867   12480855    602      69  121687      0.47864       0.3161
_SET1_     ENSG00000132155     3   12620100   12710725    349      39  123435       1.6455     0.049936
_SET1_     ENSG00000154764     3   13852755   13926618    401      81  115795      0.20094      0.42037
_SET1_     ENSG00000077092     3   25210823   25644423   2626     187  118168       1.5274     0.063332
_SET1_     ENSG00000163513     3   30642994   30740634    448      95  122089     -0.44396      0.67147
_SET1_     ENSG00000076242     3   37029823   37112380    315      33  113903      0.12621      0.44978
_SET1_     ENSG00000168036     3   41231328   41306587    217      51  108268     -0.99059      0.83906
_SET1_     ENSG00000172037     3   49153547   49175551     46      32  105182       2.9088    0.0018139
_SET1_     ENSG00000067560     3   49391578   49455431    211      42  106491      0.68363       0.2471
_SET1_     ENSG00000068028     3   50362219   50383411     53      24  105007       1.2022      0.11465
_SET1_     ENSG00000114251     3   55494743   55528973    123      47  114542       2.8339    0.0022991
_SET1_     ENSG00000157500     3   57256765   57312496    179      51  103712      0.22417      0.41131
_SET1_     ENSG00000187098     3   69783586   70022488   1008      61  113332        1.563     0.059025
_SET1_     ENSG00000114354     3  100423205  100472810    282      20  114251      0.38895      0.34866
_SET1_     ENSG00000114423     3  105369305  105593396    854      56  115571        0.102      0.45938
_SET1_     ENSG00000082701     3  119535170  119818264    865      65  110588    -0.036767      0.51466
_SET1_     ENSG00000051382     3  138367860  138558780    728      53   98983     -0.77587      0.78109
_SET1_     ENSG00000085276     3  168796287  169386406   2734     219  120163      0.72828      0.23322
_SET1_     ENSG00000075651     3  171313195  171533740    989      52  116938      -1.0783      0.85956
_SET1_     ENSG00000121879     3  178860902  178962881    428      50  116347       1.1803      0.11893
_SET1_     ENSG00000161202     3  183868176  183896398     91      33  112343     -0.64649      0.74102
_SET1_     ENSG00000114279     3  191852184  192490553   3260     268  109811       1.3373     0.090564
_SET1_     ENSG00000159692     4    1200236    1248741    286      46  109118      -1.3037      0.90383
_SET1_     ENSG00000068078     4    1790034    1815599    127      38   99926      0.57139      0.28387
_SET1_     ENSG00000134853     4   55090264   55169414    261      33  115151     0.088987      0.46455
_SET1_     ENSG00000157404     4   55519085   55611881    388      65  112072       2.3219      0.01012
_SET1_     ENSG00000169429     4   74601223   74614433     40      13  103301     -0.19611      0.57774
_SET1_     ENSG00000138675     4   81182753   81262834    371      61  119384      0.39586       0.3461
_SET1_     ENSG00000109339     4   86931276   87520284   2413     118  119510      0.80495      0.21042
_SET1_     ENSG00000109320     4  103417486  103543459    474      58  114158       4.5229   3.0492e-06
_SET1_     ENSG00000138795     4  108963701  109095112    489      59  112330       2.7874    0.0026569
