GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
1	rs7529389	1	22395251	rs2473317	2017-01-09	27126917	Spada J	2016-04-29	J Sleep Res	www.ncbi.nlm.nih.gov/pubmed/27126917	Genome-wide association analysis of actigraphic sleep phenotypes in the LIFE Adult Study.	Daytime sleep phenotypes	874 European ancestry individuals	NA	1p36.12	CDC42, CDC42-IT1, LINC00339, WNT4	CDC42, LOC107985102			998, 107985102			rs2473317-G	rs2473317	0	2473317	non_coding_transcript_exon_variant	0	NR	3E-6	5.522878745280337	(daytime napping)	0.8577	[0.5-1.22] unit decrease	Affymetrix [7141204] (imputed)	N
1	rs7529389	1	22470451	rs55938609	2017-07-19	28333195	Uimari O	2017-04-01	Hum Reprod	www.ncbi.nlm.nih.gov/pubmed/28333195	Genome-wide genetic analyses highlight mitogen-activated protein kinase (MAPK) signaling in the pathogenesis of endometriosis.	Endometriosis	3,194 European ancestry cases, 7,060 European ancestry controls.	NA	1p36.12	WNT4	LOC105376845, WNT4			105376845, 54361			rs55938609-?	rs55938609	0	55938609	5_prime_UTR_variant	0	NR	6E-7	6.221848749616356		1.24	[1.15-1.35]	Illumina [NR] (imputed)	N
1	rs7529389	1	22492887	rs3920498	2014-12-18	24945404	Kemp JP	2014-06-19	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24945404	Phenotypic dissection of bone mineral density reveals skeletal site specificity and facilitates the identification of novel loci in the genetic regulation of bone mass attainment.	Bone mineral density (paediatric, skull)	7,976 European ancestry children, 289 Surinamese ancestry children, 300 Turkish ancestry children, 232 Moroccan ancestry children, 588 children	NA	1p36.12	WNT4	LOC105376850			105376850			rs3920498-G	rs3920498	0	3920498	intergenic_variant	0	0.8	2E-12	11.698970004336019		0.134	[0.097-0.171] unit increase	Illumina [~ 2500000] (imputed)	N
1	rs7529389	1	22492887	rs3920498	2014-12-18	24945404	Kemp JP	2014-06-19	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/24945404	Phenotypic dissection of bone mineral density reveals skeletal site specificity and facilitates the identification of novel loci in the genetic regulation of bone mass attainment.	Bone mineral density (paediatric, skull)	7,976 European ancestry children, 289 Surinamese ancestry children, 300 Turkish ancestry children, 232 Moroccan ancestry children, 588 children	NA	1p36.12	WNT4	LOC105376850			105376850			rs3920498-G	rs3920498	0	3920498	intergenic_variant	0	NR	1E-10	10.0	(EA)	0.139	[0.097-0.181] unit increase	Illumina [~ 2500000] (imputed)	N
1	rs7529389	1	22492887	rs3920498	2017-07-19	28333195	Uimari O	2017-04-01	Hum Reprod	www.ncbi.nlm.nih.gov/pubmed/28333195	Genome-wide genetic analyses highlight mitogen-activated protein kinase (MAPK) signaling in the pathogenesis of endometriosis.	Deep ovarian and/or rectovaginal disease with dense adhesions	1,364 European ancestry cases, 7,060 European ancestry controls.	NA	1p36.12	WNT4	LOC105376850			105376850			rs3920498-?	rs3920498	0	3920498	intergenic_variant	0	NR	6E-7	6.221848749616356		1.3	[1.18-1.43]	Illumina [NR] (imputed)	N
1	rs2473248	1	22536643	rs2473248	2018-01-15	27680694	Horikoshi M	2016-10-13	Nature	www.ncbi.nlm.nih.gov/pubmed/27680694	Genome-wide associations for birth weight and correlations with adult disease.	Birth weight	133,903 European ancestry individuals, 6,635 African American individuals, 420 Turkish ancestry individuals, 365 Moroccan ancestry individuals, 395 Surinamese ancestry individuals, 840 Chinese ancestry individuals.	9,799 European ancestry individuals, 1,449 Filipino ancestry individuals.	1p36.12	WNT4, ZBTB40	LOC105376850 - LOC107985377	105376850	107985377		37645	42415	rs2473248-C	rs2473248	0	2473248	intergenic_variant	1	0.87	1E-9	9.0		0.0331	[0.023-0.044] unit increase	Affymetrix, Illumina [at least 22434434] (imputed)	N
1	rs2473248	1	22573942	rs909814	2012-07-27	22675492	Prescott J	2012-06-04	PLoS One	www.ncbi.nlm.nih.gov/pubmed/22675492	Genome-wide association study of circulating estradiol, testosterone, and sex hormone-binding globulin in postmenopausal women.	Testosterone levels	1,589 European ancestry female individuals	NA	1p36.12	intergenic	LOC105376850 - LOC107985377	105376850	107985377		74944	5116	rs909814-T	rs909814	0	909814	intergenic_variant	1	0.39	9E-7	6.045757490560675		0.103	[NR] unit increase	Illumina [~ 2500000] (imputed)	N
1	rs2473248	1	22573942	rs909814	2013-06-14	23382691	Lauc G	2013-01-31	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/23382691	Loci associated with N-glycosylation of human immunoglobulin G show pleiotropy with autoimmune diseases and haematological cancers.	IgG glycosylation	2,247 European ancestry individuals	NA	1p36.12	NR	LOC105376850 - LOC107985377	105376850	107985377		74944	5116	rs909814-C	rs909814	0	909814	intergenic_variant	1	0.57460965776591	7E-6	5.154901959985743	(IGP14)	0.1421	[0.08-0.204] unit increase	Illumina [~ 2500000] (imputed)	N
2	rs55657303	1	26387423	rs2997447	2017-04-01	27659466	van der Harst P	2016-09-27	J Am Coll Cardiol	www.ncbi.nlm.nih.gov/pubmed/27659466	52 Genetic Loci Influencing Myocardial Mass.	QRS complex (12-leadsum)	up to 47,942 European ancestry individuals, up to 690 Orcadian (founder/genetic isolate) individuals	13,263 European ancestry individuals, 3,603 African American individuals, 4,619 Indian ancestry individuals	1p36.11	NR	TRIM63			84676			rs2997447-?	rs2997447	0	2997447	intron_variant	0	NR	2E-8	7.698970004336019	(EA)			Affymetrix, Illumina, Perlegen [2766983] (imputed)	N
2	rs55657303	1	26521140	rs11809207	2009-04-22	19343178	Soranzo N	2009-04-03	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/19343178	Meta-analysis of genome-wide scans for human adult stature identifies novel Loci and associations with measures of skeletal frame size.	Height	12,611 European ancestry individuals	7,187 European ancestry individuals	1p36.11	CATSPER4	CATSPER4			378807			rs11809207-?	rs11809207	0	11809207	intron_variant	0	0.23	6E-8	7.221848749616356		0.07	[0.04-0.10] s.d. increase	Illumina [229216]	N
